start_location,end_location,cable_length_m
CR1,DP0-1,104.1
CR1,DP0-10,108.75
CR1,DP0-100,91.644
CR1,DP0-101,89.439
CR1,DP0-102,87.518
CR1,DP0-103,82.969
CR1,DP0-104,80.95
CR1,DP0-105,78.809
CR1,DP0-106,82.669
CR1,DP0-107,80.849
CR1,DP0-108,78.82
CR1,DP0-109,66.424
CR1,DP0-11,104.438
CR1,DP0-110,64.36
CR1,DP0-111,62.156
CR1,DP0-112,66.314
CR1,DP0-113,64.629
CR1,DP0-114,62.486
CR1,DP0-115,57.766
CR1,DP0-116,55.825
CR1,DP0-117,53.629
CR1,DP0-118,58.063
CR1,DP0-119,55.764
CR1,DP0-12,100.225
CR1,DP0-120,53.672
CR1,DP0-121,52.104
CR1,DP0-122,49.933
CR1,DP0-123,47.919
CR1,DP0-124,51.89
CR1,DP0-125,49.807
CR1,DP0-126,47.761
CR1,DP0-127,62.173
CR1,DP0-128,58.035
CR1,DP0-129,27.846
CR1,DP0-13,96.416
CR1,DP0-130,25.755
CR1,DP0-14,92.055
CR1,DP0-15,88.154
CR1,DP0-16,84.031
CR1,DP0-17,65.206
CR1,DP0-18,58.544
CR1,DP0-19,53.785
CR1,DP0-2,100.119
CR1,DP0-20,49.646
CR1,DP0-21,45.916
CR1,DP0-214,42.415
CR1,DP0-215,47.699
CR1,DP0-216,51.29
CR1,DP0-217,54.568
CR1,DP0-218,56.854
CR1,DP0-219,60.064
CR1,DP0-22,41.855
CR1,DP0-220,63.036
CR1,DP0-221,67.846
CR1,DP0-222,70.054
CR1,DP0-223,63.027
CR1,DP0-224,65.383
CR1,DP0-225,65.301
CR1,DP0-226,53.675
CR1,DP0-227,43.083
CR1,DP0-228,53.278
CR1,DP0-229,22.265
CR1,DP0-23,38.102
CR1,DP0-230,28.894
CR1,DP0-231,31.146
CR1,DP0-232,34.685
CR1,DP0-233,27.959
CR1,DP0-24,34.231
CR1,DP0-242,36.555
CR1,DP0-243,39.641
CR1,DP0-244,41.151
CR1,DP0-245,44.441
CR1,DP0-246,48.578
CR1,DP0-247,47.55
CR1,DP0-248,46.618
CR1,DP0-249,47.794
CR1,DP0-25,72.617
CR1,DP0-250,52.102
CR1,DP0-26,67.554
CR1,DP0-27,64.1
CR1,DP0-28,58.524
CR1,DP0-29,54.876
CR1,DP0-3,95.969
CR1,DP0-30,50.664
CR1,DP0-31,46.901
CR1,DP0-32,42.736
CR1,DP0-4,91.598
CR1,DP0-5,87.759
CR1,DP0-6,83.172
CR1,DP0-65,90.362
CR1,DP0-66,87.38
CR1,DP0-67,85.517
CR1,DP0-68,84.327
CR1,DP0-69,81.804
CR1,DP0-7,79.053
CR1,DP0-70,82.186
CR1,DP0-71,79.586
CR1,DP0-72,77.152
CR1,DP0-73,74.253
CR1,DP0-74,72.976
CR1,DP0-75,56.552
CR1,DP0-76,53.436
CR1,DP0-77,51.377
CR1,DP0-78,50.57
CR1,DP0-79,47.222
CR1,DP0-8,74.832
CR1,DP0-80,48.36
CR1,DP0-81,45.12
CR1,DP0-82,43.867
CR1,DP0-83,40.788
CR1,DP0-84,38.348
CR1,DP0-85,108.796
CR1,DP0-86,106.876
CR1,DP0-87,104.634
CR1,DP0-88,108.869
CR1,DP0-89,106.866
CR1,DP0-9,112.71
CR1,DP0-90,104.708
CR1,DP0-91,99.928
CR1,DP0-92,97.818
CR1,DP0-93,95.825
CR1,DP0-94,100.498
CR1,DP0-95,97.626
CR1,DP0-96,96.285
CR1,DP0-97,91.525
CR1,DP0-98,89.382
CR1,DP0-99,87.451
