start_location,end_location,cable_length_m
CR1,DP0-1,104.08
CR1,DP1-1,112.998
CR1,DP0-2,100.099
CR1,DP0-3,95.95
CR1,DP0-4,91.578
CR1,DP0-5,87.74
CR1,DP0-6,83.153
CR1,DP0-7,79.033
CR1,DP0-8,74.813
CR1,DP0-9,112.691
CR1,DP0-10,108.731
CR1,DP0-11,104.419
CR1,DP0-12,100.205
CR1,DP0-13,96.396
CR1,DP0-14,92.055
CR1,DP0-15,88.154
CR1,DP0-16,84.031
CR1,DP0-17,65.206
CR1,DP0-18,58.544
CR1,DP0-19,53.785
CR1,DP0-20,49.646
CR1,DP0-21,45.916
CR1,DP0-22,41.855
CR1,DP0-23,38.102
CR1,DP0-24,34.231
CR1,DP0-25,73.091
CR1,DP0-26,67.554
CR1,DP0-27,64.1
CR1,DP0-28,58.524
CR1,DP0-29,54.876
CR1,DP0-30,50.664
CR1,DP0-31,46.901
CR1,DP0-32,42.736
CR2,DP0-33,103.327
CR2,DP0-34,99.327
CR2,DP0-35,95.043
CR2,DP0-36,90.135
CR2,DP0-37,86.248
CR2,DP0-38,82.694
CR2,DP0-39,77.881
CR2,DP0-40,74.731
CR2,DP0-41,95.326
CR2,DP0-42,91.326
CR2,DP0-43,86.326
CR2,DP0-44,82.326
CR2,DP0-45,78.326
CR2,DP0-46,74.326
CR2,DP0-47,70.326
CR2,DP0-48,66.072
CR2,DP0-49,61.476
CR2,DP0-50,57.822
CR2,DP0-51,52.832
CR2,DP0-52,48.203
CR2,DP0-53,44.974
CR2,DP0-54,40.021
CR2,DP0-55,35.625
CR2,DP0-56,32.762
CR2,DP0-57,53.322
CR2,DP0-58,47.624
CR2,DP0-59,44.643
CR2,DP0-60,39.772
CR2,DP0-61,35.619
CR2,DP0-62,31.599
CR2,DP0-63,27.463
CR2,DP0-64,23.496
