start_location,end_location,cable_length_m
DP0-1,CR0-1,32.122
DP0-10,CR0-1,28.355
DP0-11,CR0-1,24.043
DP0-12,CR0-1,19.83
DP0-13,CR0-1,16.02
DP0-14,CR0-1,16.257
DP0-15,CR0-1,20.4
DP0-16,CR0-1,24.956
DP0-17,CR0-1,37.915
DP0-18,CR0-1,41.241
DP0-19,CR0-1,46.277
DP0-2,CR0-1,28.142
DP0-20,CR0-1,50.402
DP0-21,CR0-1,54.406
DP0-22,CR0-1,58.315
DP0-23,CR0-1,62.583
DP0-24,CR0-1,66.835
DP0-25,CR0-1,38.984
DP0-26,CR0-1,41.911
DP0-27,CR0-1,45.593
DP0-28,CR0-1,50.632
DP0-29,CR0-1,54.004
DP0-3,CR0-1,23.992
DP0-30,CR0-1,57.862
DP0-31,CR0-1,62.513
DP0-32,CR0-1,66.271
DP0-4,CR0-1,19.62
DP0-5,CR0-1,15.782
DP0-6,CR0-1,15.887
DP0-7,CR0-1,20.592
DP0-8,CR0-1,24.314
DP0-9,CR0-1,32.315
