	UC1-1 Digital wayfinding	UC1-2 Self check-in kiosks & mobile check-in	UC1-3 Visitor management & digital passes	UCI-4 Live Information Dashboards	UC2-1 Smart parking management & guidance	UC2-2 EV charging management	UC2-3 Automatic number plate recognition (ANPR) access & e-permits car parks	UC2-4 Shift-aware staff parking allocation	UC3-1 Real-time occupancy & flow analytics	UC3-2 Smart entrances & footfall counting	UC3-3 Dynamic room booking and scheduling	UC3-4 Critical transfer route orchestration	UC3-5 Digital signage and live information boards	UC3-6 Intelligent lift destination control	UC3-7 Smart bed status and occupancy telemetry	UC3-8 Waiting area demand management	UC3-9 Bed management system	UC4-1 Intelligent lighting control	UC4-2 Circadian lighting and comfort scenes	UC4-3 Smart HVAC optimisation (BEMS)	UC4-4 Indoor air quality (IAQ) optimisation	UC4-5 Onsite energy generation & storage orchestration	UC4-6 Power resilience & critical systems monitoring	UC5-1 Environmental monitoring & compliance	UC5-2 Smart water management & legionella risk	UC5-3 Statutory compliance calendar & evidence automation	UC5-4 Leak detection & flood prevention	UC5-5 Water sub-metering & usage analytics	UC5-6 Noise monitoring for healing environments	UC5-7 Smart waste tracking & collection	UC5-8 Waste segregation compliance analytics	UC6-1 Predictive maintenance (CAFM/CMMS)	UC6-2 Asset lifecycle planning & optimisation	UC6-3 Real-time equipment tracking	UC6-4 Medical gas cylinder tracking & manifold monitoring	UC6-5 Cold-chain monitoring (pharmacy and labs)	UC7-1 Linen demand forecasting & dynamic par levels	UC7-2 RFID laundry & linen tracking	UC7-3 Autonomous mobile robots (logistics)	UC7-4 Transport & Portering Logistics Management 	UC8-1 UV/HPV disinfectant robots	UC8-2 Sensor-driven cleaning and hygiene scheduling	UC9-1 Staff safety & duress alerts	UC9-2 Integrated access control	UC9-3 CCTV analytics and incident detection	UC9-4 Emergency evacuation guidance	UC10-1 Contractor performance and service level agreement (SLA) analytics (facilities)	UC10-2 Permit-to-work & contractor compliance management	UC10-3  Drone inspection & perimeter monitoring	UC10-4 Estates operations command centre
Triage Rooms	x	x	x	x					x		x		x							x	x				x		x																	x	x					
Bay - Trolley	x			x					x		x		x	x				x		x	x																							x	x	x				
Resus DDB	x		x	x					x				x	x						x	x			x																					x					
Assessment and Treatment room	x								x		x		x							x	x			x																				x	x					
Point of care testing room	x			x					x				x					x		x	x			x	x		x		x					x	x		x	x			x	x		x	x					
X-ray: General Scanning room and viewing station	x			x					x		x		x					x		x	x								x															x	x					
Fluroscopy room	x			x					x		x									x	x								x					x										x	x					
CT Scanner room	x			x					x		x									x	x								x					x										x	x					
MRI control room	x			x					x		x									x	x								x					x										x	x					
MRI scanner room	x			x					x		x							x		x	x				x		x		x															x	x					
Interventional Radiology suite	x			x					x		x									x	x								x					x										x	x					
Ultrasound Room	x			x					x		x							x		x	x				x		x		x															x	x					
Reporting: 1 & 3 Person	x			x					x		x									x	x																							x	x					
Viewing room (Small & Large)	x			x					x											x	x																							x						
Cannulation Room	x			x					x		x							x		x	x																							x						
Control Room Double/Single	x			x					x									x		x	x																							x	x					
Standard Room (Adult IP)	x			x					x				x	x	x			x	x	x	x				x		x		x					x							x	x		x	x					
Ensuite																		x							x		x			x																				
Isolation Lobby	x			x					x				x					x		x	x																							x	x					
Inpatient - Clean Supply									x											x	x																x	x	x	x				x						
Inpatient - Dirty Utility									x											x					x		x										x	x	x	x				x						
Pantry  DDB									x											x					x		x																	x	x					
Pneumatic Tube Station																																																		
Wider Ward Technology																																																		
Fluid Store									x									x		x																		x						x	x					
Clean Utility									x		x									x					x		x											x	x					x	x					
Mecdicine Storage and preparation large									x		x							x		x	x			x	x		x											x	x					x	x					
Medication Preparation Room									x		x							x		x	x			x	x		x											x						x	x					
ICU Single Bedroom Adult									x				x					x	x	x	x				x		x		x					x	x									x	x					
Relative overnight Stay									x									x		x																														
Gowning Lobby									x				x					x		x					x		x																							
Rehabilitation space									x											x	x																							x						
Theatres CheckIn	x	x	x	x																																								x	x					
Block Room																																						x						x						
